WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3672.3828,0.112647,0.0,0.0,0.0,0.11549200000000001,0.8,2.66,0.0216206,0.0,0.9754,112.8628,0.6274930000000001,OTHER
15/9-19 A,3672.5352,0.125331,0.0,0.0,0.0,0.158968,0.8,2.66,0.02162,0.0,0.7884,112.8665,0.6282479999999999,OTHER
15/9-19 A,3672.6876,0.129982,0.0,0.0,0.0,0.17306300000000002,0.8,2.66,0.0216194,0.0,0.7511,112.8701,0.629003,OTHER
15/9-19 A,3672.84,0.12357000000000005,0.0,0.0,0.0,0.145807,0.8,2.66,0.0216188,0.0,0.8475,112.8737,0.629758,OTHER
15/9-19 A,3672.9924,0.152925,0.0,0.0,0.0001,0.350802,0.8,2.66,0.0216182,0.0,0.4359,112.8774,0.630513,OTHER
15/9-19 A,3673.1448,0.14946799999999996,0.0,0.0,0.0002,0.359646,0.8,2.66,0.021617599999999997,0.0,0.4156,112.881,0.631268,CLST.SLTY-X-X
15/9-19 A,3673.2972,0.130486,0.0,0.0,0.0,0.235973,0.8,2.66,0.0216171,0.0,0.5529999999999999,112.8846,0.632023,OTHER
15/9-19 A,3673.4496,0.125377,0.0,0.0,0.0,0.210315,0.8,2.66,0.0216165,0.0,0.5961,112.8883,0.632778,OTHER
15/9-19 A,3673.6020000000003,0.12449,0.0,0.0,0.0,0.20486,0.8,2.66,0.0216159,0.0,0.6077,112.8919,0.633533,OTHER
15/9-19 A,3673.7544,0.127375,0.0,0.0,0.0,0.221975,0.8,2.66,0.0216153,0.0,0.5738,112.8955,0.634288,OTHER
15/9-19 A,3673.9068,0.12385299999999999,0.0,0.0,0.0,0.202229,0.8,2.66,0.0216147,0.0,0.6124,112.8992,0.635043,OTHER
15/9-19 A,3674.0592,0.116345,0.0,0.0,0.0,0.1652,0.8,2.66,0.0216141,0.0,0.7043,112.9028,0.635798,OTHER
15/9-19 A,3674.2116,0.10958499999999999,0.0,0.0,0.0,0.13827799999999998,0.8,2.66,0.0216135,0.0,0.7925,112.9064,0.636554,CLST.SLTY-X-X
15/9-19 A,3674.364,0.11708800000000001,0.0,0.0,0.0,0.185833,0.8,2.66,0.021613,0.0,0.6301,112.9101,0.637309,OTHER
15/9-19 A,3674.5164,0.117625,0.0,0.0,0.0,0.199409,0.8,2.66,0.021612400000000004,0.0,0.5899,112.9137,0.6380640000000001,OTHER
15/9-19 A,3674.6688,0.11611300000000001,0.0,0.0,0.0,0.201604,0.8,2.66,0.0216118,0.0,0.5759,112.9173,0.6388189999999999,OTHER
15/9-19 A,3674.8212,0.11474500000000006,0.0,0.0,0.0,0.206433,0.8,2.66,0.0216112,0.0,0.5558,112.921,0.639574,OTHER
15/9-19 A,3674.9736,0.11176900000000001,0.0,0.0,0.0,0.201096,0.8,2.66,0.0216106,0.0,0.5558,112.9246,0.640329,OTHER
15/9-19 A,3675.1259999999997,0.109251,0.0,0.0,0.0,0.19483399999999998,0.8,2.66,0.02161,0.0,0.5608,112.9282,0.641084,OTHER
15/9-19 A,3675.2784,0.11296800000000005,0.0,0.0,0.0,0.22300599999999998,0.8,2.66,0.0216095,0.0,0.5066,112.9319,0.641839,OTHER
15/9-19 A,3675.4308,0.112697,0.0,0.0,0.0,0.215086,0.8,2.66,0.021608900000000004,0.0,0.524,112.9355,0.642594,OTHER
15/9-19 A,3675.5832,0.11716800000000001,0.0,0.0,0.0,0.238081,0.8,2.66,0.0216083,0.0,0.4921,112.9391,0.643349,OTHER
15/9-19 A,3675.7356,0.11627799999999999,0.0,0.0,0.0,0.22317800000000002,0.8,2.66,0.0216077,0.0,0.521,112.9428,0.644104,OTHER
15/9-19 A,3675.888,0.118618,0.0,0.0,0.0,0.233829,0.8,2.66,0.0216071,0.0,0.5073,112.9464,0.644859,OTHER
15/9-19 A,3676.0404,0.11403900000000002,0.0,0.0,0.0,0.199062,0.8,2.66,0.0216065,0.0,0.5729,112.9501,0.645614,OTHER
15/9-19 A,3676.1928,0.113847,0.0,0.0,0.0,0.199996,0.8,2.66,0.021606,0.0,0.5692,112.9537,0.646369,CLST.SLTY-X-X
15/9-19 A,3676.3452,0.11569600000000001,0.0,0.0,0.0,0.22035,0.8,2.66,0.0216054,0.0,0.5251,112.9573,0.647125,OTHER
15/9-19 A,3676.4976,0.110818,0.0,0.0,0.0,0.194725,0.8,2.66,0.0216048,0.0,0.5691,112.961,0.64788,OTHER
15/9-19 A,3676.65,0.11636700000000001,0.0,0.0,0.0,0.23478800000000002,0.8,2.66,0.0216042,0.0,0.4956,112.9646,0.6486350000000001,OTHER
15/9-19 A,3676.8024,0.11864000000000001,0.0,0.0,0.0,0.247799,0.8,2.66,0.021603599999999997,0.0,0.4788,112.9682,0.6493899999999999,OTHER
15/9-19 A,3676.9548,0.107397,0.0,0.0,0.0,0.169128,0.8,2.66,0.021603,0.0,0.635,112.9719,0.650145,OTHER
15/9-19 A,3677.1072,0.112453,0.0,0.0,0.0,0.20255499999999999,0.8,2.66,0.0216024,0.0,0.5552,112.9755,0.6509,CLST.SLTY-X-X
15/9-19 A,3677.2596,0.114665,0.0,0.0,0.0,0.223573,0.8,2.66,0.0216019,0.0,0.5129,112.9791,0.651655,OTHER
15/9-19 A,3677.4120000000003,0.110302,0.0,0.0,0.0,0.197416,0.8,2.66,0.0216013,0.0,0.5587,112.9828,0.65241,OTHER
15/9-19 A,3677.5644,0.112049,0.0,0.0,0.0,0.20909299999999997,0.8,2.66,0.0216007,0.0,0.5359,112.9864,0.653165,OTHER
15/9-19 A,3677.7168,0.10928,0.0,0.0,0.0,0.189326,0.8,2.66,0.021600099999999997,0.0,0.5772,112.99,0.65392,OTHER
15/9-19 A,3677.8692,0.11242,0.0,0.0,0.0,0.212275,0.8,2.66,0.0215995,0.0,0.5296,112.9937,0.654675,OTHER
15/9-19 A,3678.0216,0.114034,0.0,0.0,0.0,0.23003800000000002,0.8,2.66,0.0215989,0.0,0.4957,112.9973,0.6554300000000001,OTHER
15/9-19 A,3678.1740000000004,0.112673,0.0,0.0,0.0,0.225823,0.8,2.66,0.0215984,0.0,0.4989,113.001,0.656185,CLST.SLTY-X-X
15/9-19 A,3678.3264,0.11196700000000001,0.0,0.0,0.0,0.22259299999999999,0.8,2.66,0.021597799999999997,0.0,0.503,113.0046,0.65694,OTHER
15/9-19 A,3678.4788,0.110855,0.0,0.0,0.0,0.215083,0.8,2.66,0.0215972,0.0,0.5154,113.0082,0.6576960000000001,OTHER
15/9-19 A,3678.6312,0.10943699999999999,0.0,0.0,0.0,0.20541500000000001,0.8,2.66,0.021596599999999997,0.0,0.5328,113.0119,0.658451,OTHER
15/9-19 A,3678.7836,0.109785,0.0,0.0,0.0,0.208589,0.8,2.66,0.021596,0.0,0.5263,113.0155,0.6592060000000001,OTHER
15/9-19 A,3678.9359999999997,0.109016,0.0,0.0,0.0,0.207531,0.8,2.66,0.0215954,0.0,0.5253,113.0191,0.659961,CLST.SLTY-X-X
15/9-19 A,3679.0884,0.10925399999999999,0.0,0.0,0.0,0.219844,0.8,2.66,0.0215949,0.0,0.49700000000000005,113.0228,0.660716,CLST.SLTY-X-X
15/9-19 A,3679.2408,0.107949,0.0,0.0,0.0,0.22203499999999998,0.8,2.66,0.021594299999999997,0.0,0.4862,113.0264,0.661471,OTHER
15/9-19 A,3679.3932,0.10771199999999999,0.0,0.0,0.0,0.22365,0.8,2.66,0.0215937,0.0,0.4816,113.03,0.662226,OTHER
15/9-19 A,3679.5456,0.10919100000000001,0.0,0.0,0.0,0.22740500000000002,0.8,2.66,0.021593099999999997,0.0,0.4802,113.0337,0.662981,OTHER
15/9-19 A,3679.698,0.10860999999999998,0.0,0.0,0.0,0.21081799999999998,0.8,2.66,0.0215925,0.0,0.5152,113.0373,0.663736,OTHER
15/9-19 A,3679.8504,0.105571,0.0,0.0,0.0,0.180764,0.8,2.66,0.0215919,0.0,0.584,113.0409,0.6644909999999999,OTHER
15/9-19 A,3680.0028,0.107822,0.0,0.0,0.0,0.191891,0.8,2.66,0.0215914,0.0,0.5619,113.0446,0.665246,OTHER
