UWI,START_DATE,OIL,GAS,WATER
AB735,01-DEC-97,34159,21393,63
YP821,01-MAR-98,13407,11439,356
TR400,01-NOV-89,32174,18056,374
CC479,01-NOV-87,48583,57581,106
TF267,01-APR-06,21686,23363,673
YP549,01-AUG-06,21833,16110,60
ON798,01-DEC-08,34794,18875,1630
ON316,01-JAN-05,67045,30457,0
DS652,01-JUL-89,18610,14174,12
ON369,01-OCT-89,132131,72081,0
TR400,01-JAN-88,61158,28919,33
DS773,01-MAY-04,78176,87173,110
DS773,01-JUN-01,49485,48567,0
CC310,01-DEC-06,35288,24341,2531
AB365,01-OCT-13,30397,31875,0
TR758,01-JUN-91,24250,17809,0
AB735,01-DEC-91,111275,68882,1452
BR835,01-APR-99,36588,32810,158
BR772,01-DEC-98,66126,49285,26167
CC782,01-APR-05,21729,17056,327
YP203,01-OCT-06,79884,49753,205
CC142,01-FEB-14,34737,15044,0
CC504,01-NOV-87,92244,55546,0
DS652,01-JUL-90,42617,27335,0
TR843,01-OCT-01,33011,26440,0
DS582,01-APR-00,40315,29427,11273
ON316,01-FEB-02,61947,30063,0
AB456,01-SEP-09,53459,66024,3801
TF277,01-APR-08,36753,16365,43
YP468,01-NOV-14,25021,18359,1632
AB517,01-DEC-17,0,0,0
DS416,01-JUL-92,98165,78097,57
DS241,01-NOV-93,51750,28697,0
TF585,01-JUL-88,27636,21320,0
TR418,01-SEP-03,93233,63922,11289
AB559,01-FEB-07,16896,7621,215
ON120,01-JUL-06,42951,8760,355
DS607,01-FEB-14,38728,20374,6658
AB119,01-MAY-13,38761,33202,5537
YP821,01-JAN-98,15567,11574,275
YP181,01-JUN-02,12082,12259,74
TF149,01-AUG-05,54003,38275,5521
ON602,01-OCT-13,53621,73252,0
TR129,01-OCT-14,59722,39834,66
TR336,01-APR-90,104915,55722,0
TF695,01-APR-76,432675,435310,0
BR819,01-JAN-99,63926,39812,8486
BR819,01-JUL-02,34191,23322,29898
AB424,01-JUL-09,43667,28332,190
TF770,01-JUN-06,21618,18232,95
YP676,01-APR-09,12582,25209,53312
AB257,01-MAY-00,41486,26132,8884
TR729,01-FEB-13,39097,38047,64
TR235,01-DEC-99,29041,23751,0
AB742,01-DEC-89,82115,47337,0
BR710,01-JUL-77,558286,612150,0
ON333,01-JAN-05,50807,26329,38
AB295,01-JUL-10,62048,31340,83
RK113,01-OCT-10,35985,13127,3382
TF719,01-FEB-06,52638,56350,1303
TF222,01-MAY-06,59281,57259,4610
AB590,01-MAR-11,49197,23175,36
TR843,01-MAR-89,40572,33726,0
ON397,01-JAN-77,564199,535800,0
BR219,01-JAN-90,47736,35751,0
TR135,01-NOV-03,35851,19760,0
BR763,01-JUL-06,27668,20496,300
CC504,01-JAN-01,40127,37842,0
RK794,01-JAN-13,27600,22272,18632
BR772,01-JUL-87,100129,48980,0
RK345,01-JUN-90,95698,72882,0
AB742,01-MAY-83,232761,236544,24
YP534,01-FEB-87,21111,11626,1436
ON575,01-MAY-89,62590,36556,0
ON333,01-AUG-05,20232,12150,0
TF149,01-SEP-10,52786,32815,22654
AB517,01-MAY-11,69148,90818,92
ON563,01-MAY-11,16604,12358,0
DS698,01-JAN-11,30379,19840,10947
BR817,01-JUN-14,37183,42384,0
ON700,01-MAR-17,40967,31097,0
TF695,01-JUN-86,65532,35706,0
TF143,01-APR-95,87545,87547,3876
CC653,01-DEC-83,703,479,212
BR264,01-MAR-91,84681,42941,0
TF642,01-AUG-03,39874,16189,159
CC504,01-NOV-86,36177,32999,0
CC310,01-JUL-84,20906,16811,0
CC636,01-OCT-91,56685,33922,1143
CC310,01-NOV-92,46411,46501,2604
TR455,01-JAN-96,45144,31104,3499
CC495,01-SEP-96,82180,62122,0
RK403,01-JAN-03,43359,11660,12
AB540,01-JUN-07,24229,11280,478
DS773,01-JUN-07,42928,47265,2600
CC669,01-FEB-16,4660,3381,1055
AB257,01-APR-18,24609,18876,31988
CC464,01-FEB-16,2396,5086,3289
RK450,01-APR-18,0,0,0
RK302,01-JUL-17,33482,27012,137
RK403,01-MAY-16,0,0,0
CC643,01-SEP-15,42567,49986,43723
RK747,01-OCT-16,29552,11004,10756
ON384,01-OCT-17,44473,27458,3
AB735,01-APR-16,42038,36229,1036
BR704,01-MAR-16,0,0,0
TF277,01-APR-18,41722,24903,4745
TR758,01-FEB-16,13664,8513,7579
TR753,01-DEC-17,14315,11081,2972
TR331,01-MAR-16,29601,22960,0
ON506,01-JAN-16,0,0,0
TF172,01-APR-15,21527,15111,7851
ON663,01-JUN-15,27529,17290,6
BR817,01-NOV-17,46700,30782,188
YP181,01-NOV-15,0,0,0
TF770,01-FEB-18,0,0,0
ON798,01-APR-15,0,0,0
RK157,01-FEB-18,32789,19993,10
TF149,01-JAN-18,19349,11745,1230
RK128,01-OCT-16,25289,17684,46972
YP655,01-APR-16,42250,33163,2328
TF454,01-DEC-17,42263,33875,769
ON563,01-AUG-16,0,0,0
RK375,01-JAN-17,0,0,0
ON575,01-SEP-16,38842,29601,0
AB499,01-JAN-15,15319,7790,0
YP676,01-AUG-15,10898,28538,39099
AB348,01-JAN-18,43879,22602,2478
TR729,01-MAR-17,11269,10123,4221
BR264,01-JAN-18,0,0,0
DS150,01-FEB-16,6873,3152,781
BR836,01-NOV-17,20687,26244,175
YP737,01-MAY-16,36271,32648,4363
BR440,01-DEC-17,37906,27729,4865
TF850,01-OCT-95,36731,35318,84
TR791,01-AUG-99,37421,26731,4015
TF143,01-SEP-86,67710,44192,0
AB257,01-MAY-03,31230,11946,6407
YP373,01-JUN-03,21130,11808,331
CC669,01-MAR-99,18833,14052,137
CC636,01-SEP-00,38908,26969,0
TF740,01-NOV-91,88133,63836,0
TF740,01-APR-99,90655,65625,831
RK403,01-AUG-96,50766,40758,0
TF740,01-NOV-90,50085,43062,0
DS652,01-MAR-93,35352,23383,26
BR819,01-APR-92,24398,17274,214
BR312,01-FEB-99,33006,22480,7554
BR819,01-JAN-02,32897,36840,15838
RK153,01-NOV-07,4867,4308,32
YP181,01-JUL-08,39163,32213,59
RK153,01-OCT-94,37720,22069,0
YP181,01-APR-04,1560,1435,762
TR387,01-FEB-12,32323,16638,142
ON316,01-AUG-81,146646,84840,0
RK153,01-JUN-03,73794,86993,47
TF172,01-JUN-03,85056,61790,0
ON727,01-SEP-13,5529,8969,3592
RK153,01-FEB-00,37268,23062,0
AB388,01-NOV-00,17027,7576,2279
RK345,01-MAR-87,67743,52768,129
DS698,01-DEC-96,22762,23584,275
RK345,01-JUL-97,52570,34805,1347
ON369,01-MAY-90,93226,39097,0
TF359,01-OCT-90,38865,23018,892
TF359,01-MAY-92,30904,20064,1259
CC782,01-APR-88,8554,3376,34
TF267,01-MAY-97,10216,9503,2157
CC782,01-FEB-91,43810,23706,209
CC782,01-JAN-94,55040,49327,930
ON397,01-MAY-90,53503,33340,925
TF267,01-FEB-08,46606,51020,4131
TF267,01-AUG-87,69970,47870,0
CC504,01-DEC-07,57581,47808,6736
CC782,01-MAR-95,40255,40534,2094
ON369,01-JAN-88,89748,66345,69
DS241,01-JAN-12,20740,14874,4888
ON120,01-DEC-14,56666,46078,0
CC464,01-APR-00,60608,42608,10695
RK114,01-SEP-10,46969,38096,16570
BR835,01-AUG-92,13830,14347,5365
YP577,01-SEP-04,27099,5921,2665
AB460,01-SEP-09,53731,33277,0
CC653,01-APR-96,39971,30737,141
RK539,01-DEC-98,68844,50712,71
DS582,01-MAY-06,17122,11729,12719
TF611,01-AUG-98,44622,30489,30
CC891,01-SEP-97,32402,31766,927
CC310,01-APR-99,22713,15102,11439
TF611,01-APR-04,6058,5173,4
TF611,01-SEP-12,33139,24143,8373
AB590,01-DEC-01,11328,10272,0
ON120,01-JAN-02,81969,40385,4152
ON120,01-DEC-06,53221,23619,110
ON120,01-DEC-08,70635,34251,431
YP203,01-JUL-13,72908,48872,3852
YP203,01-OCT-14,66969,65315,23287
TR107,01-AUG-05,36423,20262,120
BR273,01-OCT-06,40340,33438,2577
RK153,01-FEB-11,41723,48706,163
CC154,01-JUL-91,51591,37181,0
AB735,01-MAR-91,173127,97373,0
CC482,01-FEB-87,28003,16074,0
AB742,01-JUL-98,68281,32734,5899
BR219,01-JUL-89,12970,8920,79
BR219,01-NOV-89,48816,47498,0
CC627,01-FEB-05,43654,32416,3346
RK153,01-JUL-01,30391,31742,0
RK301,01-SEP-07,41494,56674,56
ON120,01-MAY-00,86089,74292,15
TF143,01-APR-08,26887,23483,1183
ON519,01-JUN-10,52656,23848,15
ON519,01-NOV-10,35767,26307,82
ON316,01-APR-88,16985,7452,0
ON727,01-MAR-83,4117,1752,35
AB456,01-SEP-04,44495,37154,155
TF611,01-MAR-01,2103,1293,0
TF407,01-NOV-08,39151,24900,897
DS378,01-JUL-08,59586,76232,2410
YP655,01-OCT-09,85556,38327,594
ON180,01-NOV-14,35841,21455,0
RK747,01-MAR-12,25318,8290,12068
RK747,01-AUG-17,0,0,0
YP676,01-APR-15,14056,25298,94643
ON727,01-JUN-15,32705,46400,13491
CC653,01-MAY-96,38381,35255,230
RK345,01-NOV-86,17220,9232,0
DS234,01-JUN-91,30697,17798,7418
CC482,01-APR-84,74307,72446,4290
CC636,01-JAN-03,45651,25585,0
TR387,01-NOV-01,27364,10498,1005
ON463,01-MAR-06,29463,34117,68
ON120,01-JAN-05,68984,28880,170
DS263,01-JUL-10,24381,11445,4659
DS150,01-OCT-13,62794,58364,11653
RK747,01-AUG-11,16283,9691,7285
BR772,01-FEB-14,31,4,0
BR819,01-APR-77,365669,393760,0
BR219,01-JAN-93,87467,56882,189
CC782,01-JUN-86,80473,36744,768
CC482,01-SEP-88,13716,7071,0
TF335,01-JUL-77,592571,462690,0
TF267,01-NOV-04,24983,20253,3689
DS652,01-MAY-00,21679,15237,8962
CC669,01-MAY-04,52692,27964,672
BR164,01-APR-07,34065,15890,547
DS884,01-JAN-05,34524,14637,1049
ON727,01-DEC-13,33035,49320,3226
AB742,01-NOV-88,66189,40251,60
TR382,01-JUN-92,110462,86586,236
TR400,01-AUG-88,25193,16851,0
BR836,01-AUG-94,76277,54698,25
TR387,01-SEP-91,80677,63660,0
BR832,01-OCT-88,81401,62236,0
RK738,01-APR-14,22779,15809,13664
TF611,01-AUG-11,7220,8938,42
RK301,01-OCT-94,14432,8087,0
BR254,01-FEB-89,4205,4429,19
AB559,01-FEB-10,34059,26406,14932
DS546,01-NOV-10,46819,24855,38
DS441,01-OCT-10,37355,20655,0
AB460,01-FEB-11,22620,18061,0
YP229,01-MAR-11,41112,21165,1073
TF846,01-JUN-11,32219,21384,893
DS150,01-DEC-10,82039,53724,20327
CC504,01-DEC-11,52159,40525,17190
CC653,01-MAR-98,16804,9597,74
AB257,01-AUG-81,35064,24240,0
DS698,01-MAY-01,70200,50300,9051
TF846,01-AUG-06,39496,30443,39
CC849,01-JAN-90,48328,32672,1038
RK345,01-JAN-95,113770,95994,6787
TR758,01-DEC-81,4133,3270,0
ON727,01-JAN-97,34642,31318,758
YP805,01-NOV-14,30648,21835,0
TR376,01-AUG-17,28277,21911,0
CC627,01-APR-15,40219,25485,5457
RK738,01-AUG-15,26554,18922,10924
TR516,01-MAY-17,27149,26972,0
ON308,01-NOV-16,44099,35231,4637
DS241,01-JUL-16,50694,40905,1945
CC849,01-MAR-17,16874,16408,41950
ON198,01-JAN-18,27340,26169,21
YP412,01-MAY-18,14628,8236,1421
CC565,01-MAY-18,12920,10906,836
YP805,01-FEB-16,23419,14345,0
RK864,01-MAR-16,43284,35646,0
CC462,01-JUL-17,0,0,0
RK128,01-FEB-17,22171,16199,48173
RK794,01-SEP-15,0,0,0
TR843,01-OCT-17,0,0,0
RK539,01-AUG-17,50203,32151,2933
AB752,01-JUL-17,41672,26161,2423
TR811,01-JUL-17,28789,23009,23300
TR855,01-JAN-18,2771,1961,2990
BR254,01-APR-18,35507,24218,0
BR704,01-APR-18,0,0,0
AB323,01-NOV-15,45872,21581,77
TR791,01-AUG-17,1411,646,59
AB879,01-MAY-16,17199,14440,0
YP493,01-JUN-16,47323,28605,0
YP109,01-JUN-16,51660,24190,827
ON308,01-SEP-15,32720,33475,4086
DS780,01-MAR-17,26654,22810,0
BR159,01-JUL-08,23585,13494,0
AB456,01-NOV-10,70980,67102,15810
TF719,01-FEB-04,45875,26905,777
ON236,01-OCT-05,38265,18877,2932
TF770,01-SEP-06,17822,12108,661
TF770,01-JUN-08,36552,39848,7444
TF719,01-FEB-10,44424,28894,7133
AB295,01-NOV-07,65398,60086,104
CC142,01-NOV-06,19551,15960,0
YP549,01-APR-14,35131,15873,69
CC142,01-MAY-04,76230,26764,105
AB295,01-FEB-14,69092,69144,393
CC142,01-FEB-08,55965,48797,3625
YP549,01-DEC-12,77450,57633,0
TF445,01-DEC-05,22738,4869,2481
AB838,01-JAN-14,38920,51964,10072
YP861,01-FEB-12,41390,30561,9390
YP655,01-JAN-09,70121,56112,0
TR135,01-JUL-04,42786,13925,0
AB295,01-MAY-03,34990,28667,185
TR135,01-MAY-08,36730,18482,266
DS416,01-JUL-97,61843,41940,4148
YP821,01-DEC-90,75727,77432,0
DS416,01-JUN-01,22787,11762,8795
TR331,01-JUN-90,28048,21879,0
YP471,01-AUG-01,23337,5205,0
DS234,01-SEP-04,5010,3195,956
AB735,01-AUG-97,16425,9699,877
AB344,01-SEP-90,23048,21440,0
DS378,01-MAR-97,39716,29484,3882
RK514,01-AUG-94,82005,83400,0
YP714,01-AUG-12,48991,43034,0
DS378,01-MAY-06,58773,82447,1650
TF149,01-FEB-92,130870,85622,52
YP220,01-JUN-90,84578,59449,0
TR331,01-JAN-05,16957,11614,12
DS773,01-NOV-87,110688,73790,160
RK301,01-JUL-04,64026,71716,590
TR331,01-JUL-09,55377,60443,0
RK514,01-AUG-08,31174,15058,2465
DS773,01-SEP-96,19375,11619,0
BR430,01-FEB-87,11802,6335,0
BR264,01-APR-93,51265,33756,0
TR455,01-JUN-86,37228,22307,0
RK301,01-JUN-91,38498,33477,0
AB560,01-JAN-93,65656,55000,0
AB560,01-APR-96,39515,35400,0
TR516,01-FEB-06,29884,18754,971
TR455,01-JUN-89,38807,26512,0
RK301,01-JUL-02,80148,74436,50
TF149,01-FEB-95,50919,33364,188
BR254,01-JUN-03,34796,19960,6
TR382,01-JUL-01,46795,50874,19962
RK301,01-JAN-09,27244,37506,489
RK301,01-JUL-09,51977,54779,0
RK301,01-MAY-10,34367,49643,1025
AB560,01-MAR-13,44549,27706,0
AB560,01-MAY-13,44949,31367,66
DS773,01-MAR-99,30806,14453,25
TR382,01-FEB-09,29476,23872,2570
TR382,01-MAY-10,51027,86599,536
ON231,01-OCT-09,47983,32793,3183
TF585,01-AUG-03,39988,16763,1566
ON804,01-OCT-08,35106,16460,156
ON804,01-JAN-10,83753,47912,4107
YP647,01-APR-02,25934,48625,1656
YP647,01-JUL-02,27621,42750,1124
BR832,01-MAY-94,36448,27056,0
DS378,01-MAY-97,45439,35191,2896
TF585,01-MAR-07,33909,13463,73
CC872,01-JAN-91,141846,108484,0
CC872,01-AUG-91,101618,81887,0
BR832,01-APR-98,28064,24356,0
ON575,01-DEC-91,92295,63513,230
DS378,01-FEB-02,44345,27355,1608
BR836,01-DEC-93,97659,62313,81
ON506,01-JAN-05,48443,58491,3584
ON506,01-JAN-14,23864,25268,929
TR235,01-SEP-03,47660,38038,1248
BR836,01-SEP-85,49862,33274,0
BR836,01-AUG-87,85273,47913,292
BR836,01-OCT-87,71696,41214,948
TF177,01-JUN-13,34934,31286,1830
CC643,01-SEP-10,40656,27747,9183
DS234,01-FEB-89,18348,10954,209
YP676,01-APR-08,24454,10345,67557
AB388,01-MAY-08,44155,42370,17526
DS234,01-FEB-91,43028,26529,7470
YP471,01-JAN-89,5890,4019,0
CC310,01-NOV-01,47467,24860,34
CC154,01-OCT-88,112334,67631,31
CC154,01-FEB-92,85810,55694,1965
AB560,01-JUL-89,7288,6040,0
AB560,01-OCT-89,4991,4387,0
TR753,01-NOV-14,30816,13464,487
CC627,01-JUL-13,33133,33915,1788
DS780,01-DEC-10,89151,43383,0
TR418,01-MAY-02,33128,19375,0
BR772,01-AUG-95,83401,68254,0
TR331,01-NOV-88,6509,5562,0
TR762,01-DEC-14,68936,64326,47169
ON727,01-JUL-82,41613,35890,25
CC891,01-OCT-84,15288,11062,867
ON369,01-DEC-85,290061,244111,0
RK153,01-MAR-13,53069,40286,3115
CC482,01-OCT-78,384180,349160,0
ON316,01-APR-89,6286,3229,0
YP467,01-MAR-94,28696,24420,7478
TR758,01-MAY-82,19459,18720,0
YP373,01-JUL-13,74466,89486,15787
RK361,01-NOV-84,439,386,0
YP549,01-NOV-17,34062,34269,636
DS377,01-MAR-18,45906,20903,14453
AB424,01-SEP-17,23185,35173,6305
DS241,01-APR-16,68164,46556,2915
AB348,01-APR-18,32418,19352,1532
YP174,01-APR-18,35354,27571,0
TF719,01-NOV-15,0,0,0
TF410,01-AUG-16,0,0,0
YP181,01-MAR-16,0,0,0
YP203,01-SEP-16,59074,58341,13125
DS546,01-JUL-16,50080,25740,391
RK301,01-MAY-18,0,0,0
TR197,01-AUG-17,34172,35088,3010
AB436,01-DEC-16,54452,49474,283
AB348,01-MAR-17,41800,40875,857
ON574,01-FEB-18,38252,40763,0
CC464,01-MAY-16,9992,68874,17009
ON397,01-JAN-17,0,0,0
RK103,01-JAN-18,52529,44826,0
DS684,01-OCT-17,40831,31093,121
YP718,01-FEB-17,30784,20607,0
CC565,01-MAY-16,31922,21536,3660
RK403,01-MAR-16,0,0,0
ON848,01-SEP-17,45812,46271,1582
BR433,01-JUN-16,32944,19049,1199
ON198,01-JUN-18,28297,17151,1531
BR835,01-SEP-15,32702,28234,403
RK578,01-DEC-16,47921,41023,0
YP655,01-DEC-16,0,0,0
TR880,01-MAR-18,23172,29894,0
DS884,01-JUN-15,0,0,0
RK789,01-JUN-15,32718,17617,4303
TR507,01-NOV-17,37092,39499,43436
RK596,01-JUL-17,25865,14681,7163
AB625,01-SEP-16,49473,42618,2858
BR497,01-JAN-16,28978,16245,0
TR880,01-APR-18,33705,30035,0
YP714,01-OCT-17,42007,25406,61
BR835,01-AUG-16,44254,23490,1632
TF585,01-MAY-16,27386,23545,46
TR393,01-AUG-17,37985,31961,0
DS441,01-SEP-17,0,0,0
AB752,01-FEB-17,23362,25009,939
YP468,01-APR-18,35078,20739,4742
ON663,01-NOV-16,0,0,0
RK450,01-DEC-17,0,0,0
TR811,01-JAN-16,46643,32897,39299
TF140,01-MAY-17,23339,22599,454
BR297,01-APR-17,47812,28323,271
ON674,01-JAN-18,51265,29400,74
RK157,01-APR-17,38131,41523,3
AB735,01-FEB-18,34775,27747,2421
ON663,01-DEC-16,0,0,0
CC310,01-MAR-15,34822,16582,2828
BR704,01-OCT-17,0,0,0
ON700,01-FEB-17,40922,29876,0
TF850,01-APR-01,56743,47358,1003
TF850,01-MAY-95,38908,16225,180
TF850,01-JAN-97,35095,31981,0
TF143,01-NOV-90,123144,66498,0
TR791,01-MAR-04,12929,4061,2678
TF335,01-FEB-90,71104,34679,0
CC669,01-FEB-00,46620,32499,0
TF335,01-MAR-97,140426,110796,3647
CC669,01-AUG-01,21231,23275,0
RK403,01-MAR-00,84302,55868,0
CC636,01-JAN-06,20814,2984,490
RK403,01-SEP-04,40978,12320,0
TF143,01-NOV-06,20105,10157,131
CC636,01-MAY-13,8693,3870,2613
BR819,01-AUG-92,54924,36476,432
RK403,01-JUL-05,50911,13808,0
BR819,01-NOV-97,34681,18334,215
DS652,01-MAR-93,43918,30524,357
AB388,01-APR-87,49790,32113,57
RK153,01-SEP-85,120767,62127,0
AB388,01-OCT-90,91793,73804,0
AB388,01-NOV-98,44949,35025,75
TF172,01-JUL-84,91516,48747,376
TF172,01-FEB-89,1184,692,11
RK153,01-JUL-00,33092,18779,801
TF172,01-NOV-07,6823,6300,117
ON316,01-MAR-95,81329,78807,0
ON316,01-FEB-96,49551,43264,0
RK153,01-NOV-94,31730,19786,47
CC504,01-SEP-99,26245,23148,3742
TF695,01-JUN-97,29668,27029,0
BR710,01-MAY-07,28728,12742,22
CC504,01-OCT-01,27002,15520,0
DS698,01-MAY-06,66491,63537,2163
AB257,01-JUN-98,27368,22085,0
CC782,01-JAN-90,33670,16001,286
TF267,01-DEC-94,11948,8974,0
CC504,01-JUN-91,74978,59965,0
CC504,01-OCT-91,65433,58698,6945
TF267,01-JUL-89,49042,38350,0
CC504,01-APR-10,42596,21777,10162
ON397,01-JAN-03,42684,28533,1841
DS698,01-NOV-94,16643,9021,317
DS698,01-AUG-96,19408,22846,0
TF695,01-MAY-91,18838,14985,0
TF267,01-JUN-12,36875,42174,0
DS698,01-MAY-84,14447,10629,0
DS698,01-DEC-87,21686,14570,32
CC782,01-NOV-09,29322,14591,469
ON369,01-JAN-87,48584,27960,0
AB460,01-NOV-91,138674,99463,0
AB460,01-SEP-94,84590,54546,277
AB460,01-OCT-97,50564,56088,0
YP676,01-JAN-89,11722,13332,1212
TF267,01-DEC-83,147659,126619,0
TF143,01-FEB-82,176340,133620,0
CC398,01-JAN-86,77748,34125,0
CC398,01-SEP-87,26362,14550,253
TF695,01-FEB-78,428004,376740,0
BR819,01-APR-82,352257,348540,0
ON384,01-NOV-13,32109,35059,0
AB323,01-AUG-09,39799,34876,0
AB406,01-APR-10,37915,21861,48
TR393,01-JUN-13,48519,24705,226
RK539,01-NOV-09,32432,35965,111
RK539,01-JAN-11,45321,23888,43
ON180,01-MAY-17,29238,29275,7
TR387,01-AUG-17,19599,11619,1694
TR729,01-SEP-17,6203,4641,2539
BR763,01-APR-15,36032,21821,2698
TR382,01-FEB-15,24356,27796,6334
ON180,01-NOV-15,36450,25919,0
YP655,01-FEB-15,0,0,0
YP166,01-DEC-15,0,0,0
TF178,01-AUG-15,31408,21524,0
CC669,01-JUL-15,0,0,0
DS698,01-DEC-99,25012,27371,295
CC565,01-DEC-06,32156,21094,65
TF149,01-AUG-06,61932,50716,3814
RK403,01-JUL-06,24831,10395,0
AB735,01-DEC-90,81583,62109,0
ON804,01-APR-90,38197,33995,10
TF359,01-JUN-89,34800,15796,38
YP552,01-JUL-90,48708,29988,3645
TR758,01-OCT-02,39695,40379,2
TR235,01-NOV-05,12295,9726,43
YP174,01-NOV-08,51068,25679,7673
ON798,01-MAY-09,35766,23164,949
BR763,01-JUL-12,37076,22445,493
TF143,01-JUL-82,299730,202300,0
YP714,01-APR-89,2351,1503,0
BR264,01-JUL-99,32844,17850,0
TF611,01-MAY-07,35758,36099,33
CC636,01-FEB-09,40469,20096,4229
DS378,01-JAN-01,91336,50270,21130
BR312,01-MAY-10,24618,7821,55316
YP655,01-APR-10,73384,36675,434
CC627,01-MAY-10,26953,16853,369
ON231,01-SEP-11,25669,23147,5349
DS652,01-OCT-74,146890,97760,0
RK114,01-DEC-03,88310,70981,6518
YP577,01-OCT-89,49322,38646,1238
YP471,01-JAN-88,42144,27958,18
ON848,01-JUN-06,69970,23884,579
TF267,01-NOV-08,44917,56281,7501
CC565,01-SEP-09,46203,23085,580
YP737,01-APR-08,35033,28903,0
TF770,01-APR-06,8912,5482,318
YP655,01-MAY-11,96539,63769,0
DS150,01-AUG-12,30449,13985,125
DS558,01-APR-14,43970,37612,1440
BR763,01-DEC-11,48919,34047,298
RK350,01-SEP-15,36745,44449,0
TR336,01-JAN-90,84930,48261,0
CC310,01-OCT-87,34045,21500,0
CC872,01-APR-87,42082,26647,0
TR516,01-MAY-97,26470,24301,0
TR331,01-DEC-97,19846,11795,0
RK514,01-APR-90,34664,34798,7
AB559,01-MAR-07,33215,9842,300
TR336,01-DEC-06,26809,27030,9367
CC849,01-SEP-89,42178,28259,1064
AB590,01-JUN-95,52463,49304,429
TF740,01-OCT-83,325305,289727,0
TF585,01-JUN-03,66504,57884,1795
TR331,01-JUN-89,32012,26342,0
ON575,01-APR-96,76116,68901,95
ON506,01-SEP-02,95437,86656,1084
TF149,01-SEP-04,49592,60553,4755
TF277,01-DEC-03,63360,42886,79
ON765,01-DEC-05,60710,37333,588
AB323,01-FEB-09,20307,12154,67
DS150,01-JUN-08,28196,15321,3994
AB456,01-FEB-11,55588,50807,15581
TF740,01-MAY-12,54531,41526,1144
TF846,01-MAY-14,44552,34749,209
RK596,01-APR-17,28530,22443,9055
RK104,01-APR-15,39562,30866,2437
ON397,01-FEB-96,29650,20517,704
CC782,01-JAN-94,46491,42272,2380
TR382,01-JUN-96,93130,72668,208
ON316,01-MAY-93,72994,87842,0
RK345,01-MAR-75,148970,72250,0
TR701,01-OCT-89,213,181,50
CC482,01-SEP-77,593399,466290,0
YP471,01-SEP-95,45156,38651,55
YP552,01-JUN-03,38591,22882,289
DS241,01-SEP-08,34155,37102,0
DS720,01-MAY-00,36824,28288,0
BR554,01-OCT-14,20010,36412,77070
AB406,01-JUN-12,38674,40407,615
YP220,01-OCT-97,64586,62597,273
CC849,01-JUN-01,24532,16526,207
RK539,01-DEC-87,35096,21446,1
RK539,01-APR-92,43446,29945,155
ON120,01-JUL-89,50991,56897,782
ON120,01-JUN-92,117861,62450,0
ON120,01-JAN-97,135411,71832,0
ON820,01-AUG-07,23901,11402,2659
RK539,01-MAR-86,74999,51406,0
DS582,01-FEB-00,32631,14600,7853
DS582,01-JAN-03,34236,22909,18464
CC310,01-JUN-93,64142,57397,12122
AB590,01-MAY-08,7442,5415,172
AB590,01-MAY-12,19465,15886,2497
RK539,01-SEP-96,55340,49953,0
AB590,01-MAR-05,64076,39294,17
TF573,01-OCT-98,49472,37887,152
AB590,01-JAN-12,26189,28382,0
AB460,01-MAR-86,64816,28582,0
ON798,01-JUL-04,23179,13211,0
TR507,01-MAR-10,22339,13600,18082
TF222,01-JAN-04,27069,20270,435
TR729,01-NOV-11,45175,21512,192
AB540,01-OCT-13,49192,51386,18233
TR797,01-MAY-07,68336,63253,0
DS546,01-JAN-07,18775,12538,0
DS150,01-JUN-13,20822,13970,0
AB456,01-MAY-08,32904,26683,1978
BR273,01-APR-13,47228,27420,390
RK738,01-FEB-06,11852,7576,0
RK738,01-JUL-11,37893,29766,1939
TF719,01-NOV-06,17712,11671,457
TF719,01-MAY-09,30461,19248,1948
RK794,01-JUL-08,27170,12142,632
AB119,01-NOV-07,53724,25750,1320
YP203,01-APR-14,78454,54814,8252
AB295,01-JAN-08,66141,44367,76
YP355,01-AUG-14,27935,18320,6435
YP355,01-SEP-14,25931,21144,9686
YP549,01-MAY-11,97800,68891,1554
AB838,01-APR-03,37311,13759,129
TF381,01-SEP-14,16835,13522,7248
DS884,01-JUN-09,29711,25510,4312
DS884,01-OCT-10,35970,26014,7436
CC865,01-APR-06,56119,45592,25742
DS884,01-JUN-07,52142,16668,19209
AB295,01-JUN-03,39135,27278,80
RK375,01-OCT-05,36799,10562,55
ON848,01-JAN-07,40640,8607,0
YP821,01-AUG-89,61538,56411,1
ON804,01-DEC-95,85219,51883,162
CC883,01-FEB-05,26221,60582,16905
ON804,01-DEC-03,60242,75167,328
DS234,01-MAY-99,33752,33878,0
BR772,01-AUG-00,67926,67458,0
BR832,01-JAN-14,20189,9406,0
ON765,01-AUG-96,67027,53272,0
ON804,01-FEB-11,53493,13300,671
DS234,01-FEB-09,4276,2555,1944
ON765,01-APR-99,47505,46129,0
TR336,01-JAN-09,42433,26815,9051
YP821,01-FEB-04,47016,16546,5214
TR455,01-MAY-87,11264,11894,0
RK514,01-MAY-92,114797,98560,0
TR336,01-AUG-89,75088,46837,0
BR430,01-OCT-91,38548,36366,0
YP821,01-OCT-11,23158,8278,528
TR382,01-OCT-02,85634,44630,6092
RK301,01-DEC-06,27753,23545,276
YP220,01-AUG-94,49284,37904,0
ON231,01-JUL-00,75737,68894,450
CC479,01-DEC-05,15583,10972,2823
