,GR_API,"Bulk Density, gcc","Resistivity, ohm-m","Water Saturation, fraction","PhiH, ft","TVD, ft",Clusters
0,117.95429089102407,2.2095626471364618,23.000642245876634,0.12996585131680344,23.00310679915932,10670.840336957484,3
1,170.01375346048007,2.2184728243839262,20.998355223974478,0.1700115917548465,19.99967626630609,9931.996425875588,2
2,166.00917941667578,2.2259814007160594,13.990350647316934,0.20004589708337883,21.000819777257163,9746.784876349639,2
3,166.00917941667578,2.2259814007160594,13.990350647316934,0.20004589708337883,21.000819777257163,9746.784876349639,2
4,134.97373057719238,2.230286317813149,21.999498734925556,0.16000015664533573,24.004250310110393,9221.184533100324,0
5,84.91655502963852,2.2701318295490016,12.989207136365858,0.2400916375214219,27.007680842963623,9781.824899232926,9
6,200.0480587890124,2.28204543732932,48.02923001965357,0.14998872153582496,12.991671689648554,8101.906087857017,4
7,150.9920267524096,2.2310872326219098,21.999498734925556,0.14998872153582496,19.99967626630609,10324.444682168412,0
8,198.04577176711024,2.2205752257569236,28.00635980063202,0.1399772864263142,23.00310679915932,10270.382932577053,6
9,169.012609949529,2.213567221180266,23.000642245876634,0.1399772864263142,22.00196328820824,10655.823184293218,6
10,150.9920267524096,2.2667279416117685,18.996068202072323,0.1700115917548465,18.99853275535501,10249.358918847081,1
11,116.95314738007298,2.2578177643643036,19.9972117130234,0.1700115917548465,24.004250310110393,9663.6899649407,9
12,137.9771611100456,2.2551146768847357,14.991494158268011,0.20004589708337883,18.99853275535501,9932.99756938654,1
13,110.94628631436652,2.2852490965643635,18.996068202072323,0.20004589708337883,18.99853275535501,10197.299456277626,1
14,199.0469152780613,2.222877855832111,30.008646822534175,0.1399772864263142,25.005393821061467,10175.2742990367,6
15,180.02518856999086,2.253412732916119,41.02122544299603,0.12996585131680344,17.997389244403934,8505.366922770303,8
16,95.92913365010037,2.2247800285029182,24.00178575682771,0.12996585131680344,17.997389244403934,11319.581332053784,3
17,140.98059164289884,2.2686301142825753,18.996068202072323,0.19003446197386806,22.00196328820824,9786.830616787682,1
18,152.99431377431176,2.213567221180266,24.00178575682771,0.10994298109778189,19.99967626630609,11094.324042089791,3
19,167.01032292762685,2.2325889478883365,25.00292926777879,0.12996585131680344,17.997389244403934,9641.664807699775,8
20,153.99545728526283,2.251810903298597,34.013220866338486,0.16000015664533573,24.004250310110393,9048.987849216737,8
21,158.00003132906716,2.230086089110959,21.999498734925556,0.14998872153582496,21.000819777257163,10066.149656343034,0
22,155.997744307165,2.2215763692678747,23.000642245876634,0.12996585131680344,18.99853275535501,11213.46011989297,3
23,207.05606336566993,2.2353921497189995,25.00292926777879,0.1399772864263142,17.997389244403934,10465.605917212513,7
24,151.9931702633607,2.256115820395687,27.005216289680945,0.16000015664533573,15.995102222501783,9444.439536042413,8
25,153.99545728526283,2.246004270935081,21.999498734925556,0.1700115917548465,18.99853275535501,9390.377786451056,2
26,137.9771611100456,2.25441387642707,16.993781180170167,0.19003446197386806,29.009967864865775,9589.60534513032,9
27,158.00003132906716,2.235892721474475,15.99263766921909,0.19003446197386806,18.99853275535501,9555.566465757984,2
28,127.96572600053483,2.2429007260511327,7.9834895816104705,0.1399772864263142,22.00196328820824,12451.874642939454,3
29,175.01947101523547,2.2242794567474427,14.991494158268011,0.20004589708337883,21.000819777257163,9882.940393838986,2
30,182.027475591893,2.306072881592146,21.999498734925556,0.23008020241191113,9.988241156795324,8598.473269288752,5
31,129.968013022437,2.2557153629913063,13.990350647316934,0.21005733219288958,22.00196328820824,9697.728844313036,1
32,181.02633208094193,2.2287846025467224,28.00635980063202,0.12996585131680344,21.000819777257163,9674.702543561161,6
33,162.00460537287145,2.2631238249723444,18.996068202072323,0.1700115917548465,17.997389244403934,10526.67567138053,1
34,145.98630919765424,2.236092950176665,14.991494158268011,0.19003446197386806,24.004250310110393,9417.408661246734,2
35,187.0331931466484,2.2761386906147085,13.990350647316934,0.23008020241191113,22.00196328820824,9062.002714859102,5
36,175.01947101523547,2.2417994681890865,37.016651399191716,0.14998872153582496,19.99967626630609,8800.70425850087,8
37,189.03548016855055,2.2121656202649347,17.994924691121245,0.14998872153582496,23.00310679915932,10387.516723358329,6
38,144.98516568670314,2.234691349261334,19.9972117130234,0.1399772864263142,21.000819777257163,10011.086763240724,0
39,147.98859621955637,2.253212504213929,19.9972117130234,0.1700115917548465,27.007680842963623,9650.675099298336,9
40,147.98859621955637,2.253212504213929,19.9972117130234,0.1700115917548465,27.007680842963623,9650.675099298336,9
41,136.97601759909452,2.270031715197907,19.9972117130234,0.19003446197386806,22.00196328820824,9812.86034807241,1
42,129.968013022437,2.254513990778165,12.989207136365858,0.22006876730240038,18.99853275535501,9141.093052224236,1
43,160.00231835096932,2.2436015265087983,16.993781180170167,0.18002302686435728,23.00310679915932,9044.983275172934,2
44,152.99431377431176,2.2585185648219697,32.01093384443633,0.1399772864263142,13.99281520059963,9609.628215349341,8
45,140.98059164289884,2.269130686038051,17.994924691121245,0.20004589708337883,25.005393821061467,9849.9026579776,9
46,243.0972297599087,2.2431009547533227,34.013220866338486,0.11995441620729264,12.991671689648554,11484.770011360712,7
47,179.02404505903976,2.246204499637271,34.013220866338486,0.12996585131680344,16.99624573345286,8348.187391550982,8
48,142.982878664801,2.2316879187284804,13.990350647316934,0.1399772864263142,22.00196328820824,10895.096483410527,3
49,125.9634389786327,2.2743366322949967,19.9972117130234,0.19003446197386806,18.99853275535501,9706.739135911595,1
50,158.00003132906716,2.2324888335372415,27.005216289680945,0.12996585131680344,16.99624573345286,10018.094767817382,8
